year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,brand,prediction
2011,43500,Petrol,Individual,Manual,Second Owner,18.06,1198.0,75.0,104.0,5.0,4000,Nissan,106599.28376003448
2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,205.0,5.0,17503250,Ford,560198.3371983843
2011,46000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,90.0,5.0,3500,Maruti,135285.70078910515
2014,25000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,5.0,3500,Maruti,145960.51746373437
2017,50000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,200.0,7.0,1750,Maruti,768905.1962361892
2018,30000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,190.24,5.0,17502250,Hyundai,669911.8556796651
2012,120000,Diesel,Individual,Manual,Second Owner,13.5,2179.0,115.0,277.5,5.0,17002200,Mahindra,379800.0024436572
2014,90000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,190.0,5.0,2000,Maruti,444325.48731303983
2016,52000,Diesel,Individual,Manual,First Owner,23.65,1248.0,88.5,200.0,5.0,1750,Maruti,697538.4708693539
2017,56290,Diesel,Dealer,Manual,First Owner,24.0,1186.0,73.97,190.24,5.0,17502250,Hyundai,652947.4940121691
2008,120000,Diesel,Individual,Manual,Fourth & Above Owner,17.88,1396.0,52.8,85.0,5.0,2500,Tata,44329.99982037535
2011,93500,Petrol,Dealer,Manual,Third Owner,17.0,1497.0,118.0,146.0,5.0,,Honda,344912.14866475214
2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494.0,157.7,213.0,5.0,4500,Toyota,1446701.0537135203
2017,33000,Petrol,Dealer,Automatic,Second Owner,14.7,1798.0,177.5,250.0,5.0,12505000,Skoda,1525161.2096394072
2009,60000,Diesel,Individual,Manual,Second Owner,17.88,1396.0,52.8,85.0,5.0,2500,Tata,-63707.59571471368
2018,30000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,72.0,5.0,4386,Renault,342537.45351259963
2013,70000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,200.0,5.0,1750,Honda,473032.25302986783
2017,25000,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.31,150.0,5.0,4500,Ford,826256.9899870885
2018,17601,Diesel,Dealer,Automatic,First Owner,16.25,1968.0,148.0,340.0,7.0,17503000,Skoda,1588337.3502669209
2019,14000,Petrol,Individual,Automatic,First Owner,23.95,998.0,67.05,90.0,5.0,3500,Maruti,741504.335124602
2015,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,5.0,3500,Maruti,261171.7791218448
2009,110000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,111.7,5.0,4000,Hyundai,44201.02658913925
2013,60000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.8,200.0,7.0,1750,Maruti,525580.9055656935
2013,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494.0,100.6,200.0,7.0,12003600,Toyota,769224.5643271331
2009,217000,Diesel,Individual,Manual,Fourth & Above Owner,12.8,2494.0,102.0,20.4,8.0,14003400,Toyota,528904.2614580204
2014,106000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,259.8,5.0,19002750,Hyundai,698985.2411140145
2017,70000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,5.0,2000,Maruti,571267.4955576623
2015,110000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,320.0,7.0,15003000,Tata,776538.0498397911
2010,190000,Diesel,Individual,Manual,Third Owner,16.2,1493.0,110.0,24.0,5.0,,Hyundai,106947.36842192605
2014,50000,Diesel,Individual,Manual,Second Owner,14.0,2523.0,75.0,200.0,9.0,14002200,Mahindra,366168.9801859991
2009,90000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.1,320.0,7.0,17002700,Tata,441156.03931070224
2014,86000,Diesel,Individual,Manual,Second Owner,14.0,2179.0,138.1,320.0,7.0,17002700,Tata,670954.0041854158
2016,30000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,72.0,5.0,4386,Renault,219954.7461852464
2019,9200,Petrol,Individual,Automatic,First Owner,23.84,1199.0,83.83,114.0,5.0,3500,Tata,704991.0574846499
2015,92651,Diesel,Dealer,Manual,First Owner,21.7,1498.0,98.96,215.0,5.0,17502500,Ford,630101.2177244243
2017,30000,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,215.0,5.0,17503000,Ford,773039.8324484619
2011,80000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,259.8,5.0,19002750,Hyundai,631604.4547528581
2019,10000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,117.0,5.0,4000,Hyundai,838931.3061875087
2006,59000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59.0,4.0,2500,Maruti,86820.33979223191
2009,125000,Petrol,Individual,Manual,Second Owner,13.5,1799.0,130.0,172.0,5.0,4300,Honda,158342.62206153595
2011,100000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,180.0,7.0,,Mahindra,320914.7332413581
2018,50000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,114.0,5.0,3500,Tata,440399.27714694943
2017,15000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,337301.03729714727
2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,430.0,5.0,17502500,Jaguar,2803572.0808945936
2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,430.0,5.0,17502500,Jaguar,2803572.0808945936
2011,43000,Petrol,Dealer,Automatic,First Owner,13.4,1997.0,135.1,190.0,5.0,3700,Renault,598937.8898772816
2016,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,200.0,7.0,1750,Maruti,668552.5645154121
2016,30000,Petrol,Individual,Manual,Third Owner,23.01,999.0,67.0,91.0,5.0,4250,Renault,304829.7029862649
2018,27620,Diesel,Dealer,Manual,First Owner,22.77,1498.0,98.59,205.0,5.0,17503250,Ford,912794.5367093
2017,31596,Petrol,Dealer,Manual,First Owner,17.0,1497.0,121.36,150.0,5.0,4500,Ford,870699.6764162552
2017,20000,Petrol,Individual,Automatic,First Owner,18.0,1497.0,117.6,145.0,5.0,4600,Honda,871202.24760643
2012,60000,Diesel,Individual,Manual,Second Owner,15.1,2179.0,140.0,330.0,7.0,16002800,Mahindra,775657.9288009203
2015,52000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,135.0,5.0,2500,Tata,315740.3154866167
2015,80000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,15002750,Hyundai,572235.5351415258
2013,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,200.0,5.0,17503000,Tata,211816.52022908418
2012,110000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,248.0,5.0,2250,Renault,405033.219431405
2018,8576,Petrol,Dealer,Manual,First Owner,18.7,1199.0,88.7,110.0,5.0,4800,Honda,750948.4518201703
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,110.0,5.0,4800,Honda,513996.35887639556
2008,93331,Petrol,Individual,Manual,Second Owner,19.81,1086.0,68.05,99.04,5.0,4500,Hyundai,41755.722853491665
2008,30000,Petrol,Individual,Manual,Second Owner,19.81,1086.0,68.05,99.04,5.0,4500,Hyundai,9845.0485402731
2017,60000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,195.0,7.0,14002200,Mahindra,569838.5587739679
2010,44500,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,110.0,5.0,3750,Volkswagen,149842.67195030174
2011,291000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,20.4,7.0,14003400,Toyota,612288.4251769047
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,110.0,5.0,4800,Honda,513996.35887639556
2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.8,113.0,5.0,4200,Maruti,867638.554281068
2014,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,114.0,5.0,4000,Hyundai,302544.8729132314
2017,100000,Diesel,Individual,Manual,First Owner,23.65,1248.0,88.5,200.0,5.0,1750,Maruti,693769.3839921054
2013,120000,Diesel,Individual,Manual,First Owner,19.09,1396.0,69.0,135.0,5.0,2500,Tata,222223.5499346475
2016,30000,Diesel,Individual,Manual,First Owner,27.3,1498.0,98.6,200.0,5.0,1750,Honda,763341.3736743586
2003,68300,Petrol,Individual,Manual,Third Owner,,,,,,,Hyundai,199069.48809400608
2012,56000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,190.0,5.0,2000,Maruti,290240.63891754136
2014,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,130.0,7.0,4000,Maruti,547385.9484220336
2011,140000,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.1,320.0,7.0,17002700,Tata,318087.9411449017
2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,430.0,5.0,17502500,Jaguar,2803572.0808945936
2015,56975,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,330.0,7.0,16002800,Mahindra,1030039.3343305327
2013,56000,Diesel,Dealer,Automatic,First Owner,11.2,2993.0,241.0,540.0,4.0,2000,BMW,4338210.414721988
2015,75000,Diesel,Dealer,Manual,First Owner,19.87,1461.0,83.8,200.0,5.0,1750,Renault,576745.1746139387
2009,80000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59.0,4.0,2500,Maruti,162859.64752019756
2017,70000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,195.0,7.0,14002200,Mahindra,624735.8537945056
2016,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,200.0,5.0,1900,Nissan,627156.9397016931
2019,14000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,195.0,7.0,14002200,Mahindra,806839.5233628723
2004,70000,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,90.0,5.0,3500,Maruti,26571.153406937607
2014,90000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190.0,5.0,2000,Maruti,438294.0887333886
2015,40000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,5.0,3500,Maruti,368411.5434798879
2016,29000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,502230.75309733633
2014,65204,Petrol,Trustmark Dealer,Automatic,First Owner,23.1,998.0,67.04,90.0,5.0,3500,Maruti,270949.7141008279
2019,20000,Petrol,Individual,Automatic,First Owner,17.4,1497.0,117.6,145.0,5.0,4600,Honda,1154482.3563157064
2012,60000,Petrol,Individual,Manual,First Owner,19.4,1198.0,86.8,109.0,5.0,4500,Honda,239555.2249420255
2015,20000,Petrol,Individual,Manual,Second Owner,15.8,1499.0,110.0,140.0,5.0,4400,Ford,561044.9146980247
2013,50000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,109705.04247205367
2012,80000,Diesel,Individual,Manual,Fourth & Above Owner,19.09,1396.0,69.0,135.0,5.0,2500,Tata,90459.1175265403
2018,70000,Diesel,Individual,Manual,First Owner,20.65,1248.0,88.7,190.0,5.0,17503000,Tata,644548.3875032894
2015,50000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,5.0,2000,Maruti,479494.9820207162
2017,70000,Diesel,Individual,Manual,Second Owner,24.4,1120.0,71.0,180.4,5.0,17502500,Hyundai,532501.3117332717
2017,42000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,114.0,5.0,3500,Tata,367840.3386942743
2016,40000,Petrol,Dealer,Automatic,First Owner,14.8,1591.0,121.3,151.0,5.0,4850,Hyundai,854069.4321221329
2016,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,5.0,4200,Maruti,530356.2103498001
2008,40000,Petrol,Individual,Manual,Fourth & Above Owner,12.85,1396.0,99.6,124.0,5.0,3500,Tata,45285.76639402204
2016,63000,Diesel,Dealer,Manual,First Owner,15.3,2956.0,83.8,250.0,9.0,10002000,Tata,745254.8530123883
2011,120000,Diesel,Individual,Manual,Second Owner,14.0,2523.0,75.0,200.0,8.0,14002200,Mahindra,334263.24907554506
2016,99000,Diesel,Dealer,Automatic,First Owner,21.66,1498.0,103.52,250.0,5.0,15002500,Skoda,769417.4025807449
2015,248000,Diesel,Individual,Manual,First Owner,24.8,1396.0,88.7,219.7,5.0,17502750,Hyundai,414770.80687622185
2017,45000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,205.0,5.0,17503250,Ford,747007.0938256517
2015,40000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,200.0,7.0,1750,Maruti,662387.4512921877
1999,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993.0,60.0,78.0,5.0,4500,Maruti,-33711.67237235233
2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.8,113.0,5.0,4200,Maruti,867638.554281068
2011,50000,Petrol,Individual,Manual,Third Owner,20.92,998.0,67.1,90.0,5.0,3500,Maruti,110925.5018153321
2008,40000,Diesel,Individual,Manual,First Owner,16.8,1405.0,62.0,12.5,5.0,2.500,Tata,6287.354278961895
2007,60000,Petrol,Individual,Manual,Third Owner,14.7,1150.0,76.0,11.2,5.0,4.400,Chevrolet,-44879.51042324456
2015,70000,Diesel,Individual,Manual,Second Owner,27.39,1248.0,74.0,190.0,5.0,2000,Maruti,430328.8425520538
2015,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,425842.6176870926
2013,25000,Diesel,Individual,Automatic,First Owner,14.84,2143.0,170.0,400.0,5.0,14002800,Mercedes-Benz,2239946.7024260485
2007,110000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,67301.24571762467
2011,97343,Diesel,Dealer,Manual,First Owner,18.8,1248.0,90.0,200.0,5.0,17503000,Tata,287318.98331226537
2011,80000,Diesel,Individual,Manual,Third Owner,15.1,2179.0,140.0,330.0,7.0,16002800,Mahindra,680558.0542451937
2012,70000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,190.0,5.0,2000,Maruti,324976.1162108284
2012,27000,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.9,111.7,5.0,4000,Hyundai,203582.5076701017
2016,32000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,5.0,4200,Maruti,524459.5122205229
2011,80000,Diesel,Individual,Manual,Second Owner,13.5,2179.0,115.0,277.5,5.0,17002200,Mahindra,392746.52177191817
2012,86000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,200.0,5.0,17503000,Tata,245886.37693751114
2018,25000,Petrol,Individual,Manual,First Owner,20.3,1086.0,68.0,99.0,5.0,4500,Hyundai,519081.0783105888
2006,100000,Petrol,Individual,Manual,Second Owner,14.0,1061.0,64.0,8.6,5.0,3.500,Maruti,159409.47916382365
2014,29340,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,259.8,5.0,19002750,Hyundai,954889.4443414486
2015,50000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,69.0,5.0,3500,Maruti,224769.9398982477
2017,45000,Diesel,Individual,Manual,First Owner,17.6,2179.0,153.86,400.0,7.0,17502500,Tata,1346300.1469438428
2017,47747,Diesel,Dealer,Manual,First Owner,28.09,1248.0,88.5,200.0,5.0,1750,Maruti,768866.1417063323
2019,15000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,190.0,5.0,17503000,Tata,733448.9413543176
2009,170000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,180.0,7.0,,Mahindra,440456.7211621828
2011,100000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,180.0,7.0,,Mahindra,320914.7332413581
2009,90000,Diesel,Individual,Manual,Second Owner,18.1,1493.0,110.0,24.0,5.0,1.9002.750,Hyundai,251332.3170409255
2013,120000,Petrol,Individual,Manual,First Owner,15.64,1193.0,64.1,100.0,5.0,2700,Tata,133042.5543996268
2014,76000,Diesel,Dealer,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,15002750,Hyundai,561550.5994368966
2017,33019,Diesel,Dealer,Manual,First Owner,13.68,2393.0,147.8,343.0,7.0,14002800,Toyota,1666751.1662325554
2015,110000,Diesel,Individual,Manual,Second Owner,18.49,1493.0,100.0,240.0,7.0,16002800,Mahindra,568516.5911272366
2017,3564,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,90.0,5.0,3500,Maruti,431111.2859795707
2016,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,177.5,5.0,4700,Hyundai,1051408.7192949844
2011,120000,Diesel,Individual,Manual,Second Owner,10.5,2835.0,116.9,292.0,6.0,2000,Mitsubishi,432615.3942547011
2019,7000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.0,90.0,5.0,3500,Maruti,745318.3345666492
2017,23000,Diesel,Dealer,Automatic,First Owner,17.9,2143.0,136.0,300.0,5.0,16003000,Mercedes-Benz,2103086.5720531526
2016,70000,Petrol,Individual,Manual,Second Owner,19.44,1198.0,67.0,104.0,7.0,4000,Datsun,278872.85798042885
2016,66693,Petrol,Dealer,Manual,First Owner,25.17,799.0,53.3,72.0,5.0,4386,Renault,317029.6622039098
2018,20000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69.0,5.0,3500,Maruti,373277.4343810078
2012,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,195.0,7.0,14002200,Mahindra,478749.1108056548
2018,38817,Diesel,Dealer,Manual,First Owner,27.39,1248.0,74.0,190.0,5.0,2000,Maruti,733276.8907067413
2012,120000,LPG,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,241073.98539865925
2006,120000,Diesel,Individual,Manual,Third Owner,10.5,2179.0,120.0,290.0,8.0,18002800,Mahindra,283189.4349726552
2011,110000,Petrol,Individual,Manual,First Owner,17.6,1496.0,88.73,132.0,5.0,3000,Toyota,454712.2747675598
2018,15000,Petrol,Individual,Manual,First Owner,21.1,998.0,100.5,150.0,5.0,17004500,Maruti,886344.6286691092
2015,136000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,248.0,5.0,2250,Renault,583840.810918838
2011,103000,Diesel,Individual,Manual,Third Owner,20.0,1399.0,68.0,160.0,5.0,2000,Ford,185869.95886000583
2015,26000,Petrol,Individual,Manual,First Owner,20.73,1373.0,91.1,130.0,5.0,4000,Maruti,518585.01889566507
2014,72000,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,200.0,5.0,1750,Honda,603709.6410068056
2018,7800,Petrol,Individual,Manual,First Owner,20.3,1086.0,68.0,99.0,5.0,4500,Hyundai,511726.70085964544
2016,22000,Petrol,Individual,Manual,First Owner,17.8,1497.0,117.3,145.0,5.0,4600,Honda,796168.810793196
2017,40000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,15002750,Hyundai,720442.4007224236
2000,56194,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,59.0,4.0,2500,Maruti,-62457.42266830057
2009,54000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,34513.471618079115
2015,101500,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,250.0,5.0,15002500,Skoda,570852.6538057118
2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984.0,150.0,350.0,5.0,15002750,Volvo,2780864.189704726
2015,55000,Diesel,Dealer,Manual,First Owner,24.4,1120.0,71.0,180.4,5.0,17502500,Hyundai,512759.9253027243
2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,202.0,5.0,36005200,Lexus,5149999.999999995
2015,110000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,330.0,7.0,16002800,Mahindra,855107.5861132552
2011,110000,Diesel,Individual,Manual,Second Owner,12.05,2179.0,120.0,290.0,8.0,18002800,Mahindra,356255.4149457893
2017,52236,Diesel,Dealer,Manual,First Owner,15.4,2179.0,120.0,280.0,7.0,18002800,Mahindra,993154.9086828561
2015,38000,Petrol,Individual,Automatic,Second Owner,23.95,998.0,67.05,90.0,5.0,3500,Maruti,305346.4828566023
2014,126000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,290.0,7.0,18002800,Mahindra,555227.6714701657
2015,110000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,320.0,7.0,15003000,Tata,776538.0498397911
2012,100000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,190.0,5.0,2000,Maruti,290260.240586589
2002,120000,Diesel,Individual,Manual,First Owner,14.07,2956.0,83.1,250.0,7.0,16002000,Tata,375183.6928680554
2007,80000,Petrol,Individual,Manual,Second Owner,18.2,1061.0,64.0,84.0,5.0,3500,Maruti,36913.777442896506
2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,153.0,5.0,3800,Skoda,698050.1286091481
2015,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,90.0,5.0,3500,Maruti,336691.24670903746
2014,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190.0,5.0,2000,Maruti,416162.05624603527
2019,10000,Diesel,Individual,Automatic,First Owner,21.5,1497.0,108.5,260.0,5.0,15002750,Tata,1147340.2524501132
2011,120000,Diesel,Individual,Manual,First Owner,23.03,1396.0,69.0,140.0,5.0,18003000,Tata,98891.51290217042
2016,50000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,200.0,7.0,1750,Maruti,726009.2081678648
1999,80000,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,59.0,4.0,2500,Maruti,62300.75217586383
2014,43381,Petrol,Dealer,Manual,Second Owner,22.74,796.0,47.3,69.0,5.0,3500,Maruti,200806.5869815424
2016,40000,Diesel,Individual,Manual,First Owner,24.8,1396.0,88.7,219.7,5.0,17502750,Hyundai,668516.6607991424
2010,50000,Petrol,Individual,Manual,Third Owner,26.0,624.0,35.0,48.0,4.0,3.000500,Tata,-276519.5484455726
2019,3500,Petrol,Dealer,Automatic,First Owner,18.15,998.0,118.35,171.6,5.0,15004000,Hyundai,1413897.806090881
2010,30000,Petrol,Individual,Manual,First Owner,15.6,1196.0,70.0,102.0,5.0,4000,Ford,69839.52461331221
2008,152500,Diesel,Individual,Manual,First Owner,17.8,1248.0,75.0,190.0,5.0,2000,Maruti,327553.5118235183
2018,9500,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,260.0,5.0,15002750,Tata,919085.6232909452
2005,49455,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,10079.387980302447
2010,90000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,22.4,5.0,,Hyundai,222802.4393472058
2016,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,101.0,7.0,3000,Maruti,536336.1181986653
2003,80000,Petrol,Individual,Manual,Third Owner,14.2,1597.0,92.0,130.0,5.0,2500,Ford,15185.229579121456
2012,90000,Diesel,Individual,Manual,Third Owner,19.4,1405.0,70.0,135.4,5.0,2500,Tata,131043.84402485366
2019,16500,Petrol,Dealer,Manual,First Owner,17.0,1197.0,110.0,200.0,5.0,20003500,Mahindra,1166495.3893166773
2014,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,190.0,5.0,2000,Maruti,405920.3227490976
2014,65000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,195.0,7.0,14002200,Mahindra,418503.3124345089
2017,25000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,5.0,1750,Maruti,763617.6351918516
2010,155000,Petrol,Individual,Manual,Second Owner,15.5,1586.0,103.3,145.0,5.0,4100,Maruti,158904.91088197613
2012,129627,Diesel,Dealer,Manual,First Owner,11.5,2982.0,171.0,343.0,7.0,14003400,Toyota,1192844.7824384377
2012,120000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,250.0,5.0,15002500,Volkswagen,333084.7090015124
2012,54000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,160.0,5.0,2000,Ford,210475.4619804615
2005,100000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,46161.57971087191
2014,120000,Diesel,Individual,Manual,First Owner,22.3,1248.0,74.0,190.0,5.0,17503000,Tata,276343.9670199251
2007,120000,Diesel,Individual,Manual,Third Owner,17.2,1396.0,53.5,8.5,5.0,2.500,Tata,47048.05616489216
2015,173000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,330.0,7.0,16002800,Mahindra,650752.6397557422
2011,80000,Diesel,Individual,Manual,Second Owner,12.05,2179.0,120.0,290.0,9.0,18002800,Mahindra,399346.0990645834
2013,57000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,90.0,5.0,3500,Maruti,190712.49444282707
2015,40000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,5.0,3500,Maruti,368411.5434798879
2019,60000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,113.75,5.0,4000,Hyundai,807311.7133708564
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,110.0,5.0,4800,Honda,513996.35887639556
2017,42000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,114.0,5.0,3500,Tata,367840.3386942743
2006,42500,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,32857.92064763687
2017,46000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115.0,5.0,4000,Maruti,561770.5416211243
2014,60000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,109.0,5.0,4500,Honda,316032.7380576928
2011,100000,Diesel,Individual,Manual,First Owner,18.3,1991.0,147.9,327.0,5.0,2600,Chevrolet,667898.9144729621
2013,75010,Diesel,Dealer,Automatic,First Owner,13.73,1995.0,148.0,320.0,5.0,2000,Renault,920840.9161818572
2013,110000,Diesel,Individual,Manual,Second Owner,13.7,2179.0,138.1,320.0,7.0,17002700,Tata,521552.28513357975
2017,60000,Diesel,Individual,Manual,First Owner,21.38,1396.0,88.7,219.7,5.0,15002750,Hyundai,709876.1126206461
2019,20000,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400.0,5.0,,Volvo,3552723.914826143
2011,120000,Diesel,Individual,Manual,Fourth & Above Owner,13.6,2523.0,63.0,180.0,7.0,,Mahindra,350875.43317635363
2020,5000,Petrol,Individual,Manual,First Owner,22.05,796.0,47.3,69.0,5.0,3500,Maruti,427272.79085691913
2012,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,102460.15039036155
2008,100000,Petrol,Individual,Manual,Third Owner,17.3,1061.0,64.0,8.6,5.0,3.500,Maruti,110363.29613699927
2013,35000,Diesel,Individual,Automatic,Second Owner,17.68,1968.0,174.33,380.0,5.0,17502500,Audi,2084521.6538758376
2016,54000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,200.0,7.0,1750,Maruti,685365.8968061104
2017,120000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,240.0,7.0,16002800,Mahindra,710624.6209217503
2010,35000,Petrol,Individual,Automatic,Second Owner,10.93,2497.0,204.0,245.0,5.0,5000,Mercedes-Benz,2089197.9434174825
